name,clalit,clalit_treatments,harel,harel_treatments
מיכאל פרידמן,,,True,"גניקולוגיה
"
חיים גוטמן,,,True,"כירורגיה   כללית,פרוקטולוגיה
"
זאב הורוביץ,,,True,"אף אוזן גרון
"
ולדימיר סורין,,,True,"כירורגיה   כללית,פרוקטולוגיה,כירורגית שד
"
צרטין בוריס,True,"כליה - כריתה מלאה בלפרסקופ
כליה/שופכן - ריסוק אבנים בלייזר
בקע - הרניה ילדים דו""צ עד גיל 15
כליה - כריתה מלאה בחתך
אגן הכליה - תיקון
שופכה - ניתוח דרך ציסטוסקופ
שופכה - הרחבת פתח
פין - היפוספדיאס - תיקון קל
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
כליה - כריתה חלקית/אדרנל בחתך
שופכן - רפלוקס חד צדדי
וריד הזרע - וריקוצלה בלאפ צד 1
",,
מרגוליס אלכסנדר,True,"הוצאת גוש
",,
האוזר דוד,True,"ירוד/קטרקט עם השתלת עדשה רגילה
לייזר - PRP + טיפול במקולה
לייזר - PRP לסכרת (ארגון לייזר)
לייזר - שינויים בהיקף הרשתית
",,
פרשטנדיג אנטוני (אריה),True,"גאסטרוסקופיה
פתיחה/הרחבת שתל לדיאליזה
אשכים - אמבוליזציה
גאסטרוסקופיה
פתיחה/הרחבת שתל לדיאליזה
אשכים - אמבוליזציה
",,
דוד מרגל,,,True,"אורולוגיה
"
שיף קובי (יעקב),True,"כף רגל - הוצאת דורבן
האלוס ואלגוס + אצבע פטישנית
הוצאת ברגים/מסמרים
גידים - הארכה
כף רגל - האלוס ואלגוס - רגל אחת
כף יד/רגל - הוצאת גנגיליון
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
כף יד/רגל - סינבוקטומיה + שחזור
גידים - הארכה
כף רגל - האלוס ואלגוס - רגל אחת
כף יד/רגל - הוצאת גנגיליון
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
קיבוע - הסרה
רגל/יד - קיבוע ע""י פלטות
כריתת עצב /גידול מהעצב
כף רגל - הוצאת דורבן
כריתת עצב /גידול מהעצב
כף רגל - ניתוח לתיקון שבר
כף יד/רגל/ברך - הסרת גידול שפיר
רגל - תיקון קרע גיד
",,
משאלי דוד,True,"ניתוח לב - מסתם + TEE
לב - מעקפים + מסתם + T.E.E
לב - מעקפים + מסתם + T.E.E
",,
לימור מועלם קלמוביץ,,,True,"אף אוזן גרון
"
קראוס מרדכי,True,"שקדים + שקד שלישי
לשון - כריתת הממברנה (הפרדה)
שקדים עם שימוש באלקטרודה
עצמות השמע - ניתוח
שקדים - כריתה
שקדים + שקד שלישי
לשון - כריתת הממברנה (הפרדה)
שקדים עם שימוש באלקטרודה
עצמות השמע - ניתוח
שקדים - כריתה
שקד שלישי - כריתה
",,
מנביץ איגור,True,"כיס מרה - כריתה בלפרוסקופ
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
קרוטיס (C.E.A)
רגלים - מעקפים עורקים
עורק /וריד - דלף בלי גרפט
ורידים שתי רגלים
בקע מפשעתי + בקע טבורי בחתך
בקע חוזר בדופן הבטן + טבורי
פורטקאט/ פיק ליין/היקמן
וריד הספנה - אנדולייזר רגל אחת
וריד הספנה - אנדולייזר 2 רגליים
ורידים RF/ קיטור(SVS) - רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
בקע טבורי - ניתוח בחתך
הוצאת גוש
מפשעה - כריתת גוש
ורידים - רגל אחת
ורידים שתי רגלים
וריד הספנה - אנדולייזר רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
הזעת יתר - ניתוח
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
מפשעה - כריתת גוש
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
וריד הספנה + ורידים שתי רגליים
פילונידל - סינוס/פיסטולקטומי
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
פורטקאט/ פיק ליין/היקמן
טחורים/פילונידל סינוס + פרי אנאל
וריד הספנה רגל1 + ורידים 2 רגלים
פי טבעת - הרחבה
וריד הספנה - אנדולייזר רגל אחת
ליפומה גדולה/עמוקה בהרדמה כללי
טחורים באמצעות סטפלר
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
רגליים - מעקפים עורקיים ריחקניים
בלוטות לימפה/בית שחי - כריתה
הזעת יתר - ניתוח
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
מפשעה - כריתת גוש
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
וריד הספנה + ורידים שתי רגליים
פילונידל - סינוס/פיסטולקטומי
ורידים - רגל אחת
קרוטיס (C.E.A)
רגלים - מעקפים עורקים
עורק /וריד - דלף בלי גרפט
ורידים שתי רגלים
בקע מפשעתי + בקע טבורי בחתך
בקע חוזר בדופן הבטן + טבורי
פורטקאט/ פיק ליין/היקמן
טחורים/פילונידל סינוס + פרי אנאל
וריד הספנה רגל1 + ורידים 2 רגלים
פי טבעת - הרחבה
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
רגליים - מעקפים עורקיים ריחקניים
בקע טבורי - ניתוח בחתך
בלוטות לימפה/בית שחי - כריתה
הזעת יתר - ניתוח
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
מפשעה - כריתת גוש
בקע - הרניה מפשעתי בחתך / חוזר
",,
רומנובסקי איגור,True,"אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
פין - תיקון עקמת
ציסטוסקופיה אבחנתית
פין - היפוספדיאס - תיקון קשה
פין - ניתוח להשתלת תותב
שופכה - הוצאת סטנט(DJS)
שופכה - ניתוח דרך ציסטוסקופ
שופכה - חיתוך
שופכה - הרחבת פתח
פין - היפוספדיאס - תיקון קל
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
פין - תיקון עקמת
ציסטוסקופיה אבחנתית
פין - היפוספדיאס - תיקון קשה
פין - ניתוח להשתלת תותב
כליה/שופכן - ריסוק אבנים בלייזר
ערמונית - פרוסטטה פתוחה S.P.P
",,
יהושע בן ציון,True,"סינוס - ניתוח אנדוסקופי + קונכיות
לשון - כריתת הממברנה (הפרדה)
קונכיות + שקד שלישי
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
אף - תיקון מחיצה + קונכיות + ש.שלישי
עור התוף - השתלה/תיקון
שקדים - כריתה
שקד שלישי - כריתה
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
אף - תיקון מחיצה + קונכיות + ש.שלישי
עור התוף - השתלה/תיקון
שקדים - כריתה
שקד שלישי - כריתה
סינוס - ניתוח אנדוסקופי
בלוטת המגן - כריתה מלאה / חלקית
כפתורים
שקדים + שקד שלישי
סינוס - ניתוח אנדוסקופי + מחיצה
סינוס - ניתוח אנדוסקופי + קונכיות
לשון - כריתת הממברנה (הפרדה)
קונכיות + שקד שלישי
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
אף - תיקון מחיצה + קונכיות + ש.שלישי
עור התוף - השתלה/תיקון
ציסטה טירוגליסואלית
שקדים + שקד שלישי
סינוס - ניתוח אנדוסקופי + מחיצה
סינוס - ניתוח אנדוסקופי + קונכיות
לשון - כריתת הממברנה (הפרדה)
קונכיות + שקד שלישי
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
",,
אדם ארנרייך,,,True,"אורתופדיה
"
רם צבי,True,"גידולי עצם הגולגולת
חורי קידוח
אקוסטיק נוירינומה
דלף כולל וונטריקולוסטומי חדר - 3
יותרת המח - כריתת גידולים
ניתוח ראש - ע""י פתיחת גולגולת
קרניופלסטיקה
",True,"נוירוכירורגיה
"
ולדימיר באסותא תורקישר,,,True,"צינתורים,רדיולוגיה פולשנית
"
וולשטין רונית,True,"יד - דופיטרן פשוט
יד - דופיטרן מורכב
כף יד - גידים:שתילה/העברה/תפרים
יד - שחזור וניקוי פרק
כף יד - שחזור שבר בשורש - פתוח
מרפק/מפרק - שחרור לחץ על עצבים
מרפק טניס
כף יד - שחזור שורש/אמה קפנג'י
כף יד/רגל/ברך - הסרת גידול שפיר
הוצאת ברגים/מסמרים
כף יד/רגל - סינבוקטומיה + שחזור
שבר - עצם קטנה תיקון ניתוחי
מפרקים - החלפה חלקית
כף יד - שחרור תעלה קרפלית CTS
יד/רגל - כריתה/קיצור עצם
יד - איחוי עצמות
כף יד - שחרור גידים בשורש
כף יד/רגל - הוצאת גנגיליון
יד - דופיטרן פשוט
יד - דופיטרן מורכב
כף יד - גידים:שתילה/העברה/תפרים
יד - שחזור וניקוי פרק
יד - שחזור עצב תפירה ושתילה
מפרק ברך/ירך - השתלה מלאה
גפה - כריתת אצבעות/בוהנים
יד - גידים + טרפזקטומי
אצבע הדק - 2 או 3 אצבעות
כף יד - שחרור תעלה + אצבע הדק
כף יד/רגל/ברך - הסרת גידול שפיר
הוצאת ברגים/מסמרים
כף יד/רגל - סינבוקטומיה + שחזור
שבר - עצם קטנה תיקון ניתוחי
",,
יהודה קריב,,,True,"כירורגיה   כללית
"
קראוס מיכאל,True,"טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
הוצאת גוש
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בלפרוסקופ
מעי גס ורקטום כריתה מלאה בחתך
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
מפשעה - כריתת גוש
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
פילונידל - סינוס/פיסטולקטומי
כיס מרה - כריתה בלפרוסקופ
טחורים/פילונידל סינוס + פרי אנאל
שד - כריתה חלקית + בלוטות
בלוטת יותרת המגן - כריתה
בלוטת המגן - כריתה מלאה / חלקית
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
הוצאת גוש
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
טחורים/פילונידל סינוס + פרי אנאל
שד - כריתה חלקית + בלוטות
בלוטת יותרת המגן - כריתה
בלוטת המגן - כריתה מלאה / חלקית
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
בלוטות לימפה/בית שחי - כריתה
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
",True,"כירורגיה   כללית,פרוקטולוגיה
"
קלימוב אלכסנדר,True,"פורטקאט/ פיק ליין/היקמן
",,
שמואל אביטל,,,True,"כירורגיה   כללית
"
אלכסנדר דויטש,,,True,"כירורגיה   כללית,פרוקטולוגיה
כירורגיה   כללית,פרוקטולוגיה
כירורגיה   כללית,פרוקטולוגיה
"
מץ יואל,True,"כליה/שופכן - ריסוק אבנים בלייזר
בקע - הרניה ילדים עד גיל 15
ערמונית - פרוסטטה פתוחה S.P.P
ציסטוסקופיה אבחנתית
כליה/שופכן - ריסוק אבנים בלייזר
הוצאת גוש
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
פין - תיקון ברית
שופכה - חיתוך
שופכה - הרחבת פתח
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
אשך טמיר - דו צדדי
אשך טמיר - חד צדדי
ציסטוסקופיה אבחנתית
כליה/שופכן - ריסוק אבנים בלייזר
בקע - הרניה ילדים עד גיל 15
ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
פין - תיקון ברית
שופכה - חיתוך
שופכה - הרחבת פתח
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
כליה/שופכן - ריסוק אבנים בלייזר
",True,"אורולוגיה
"
אוריאל בן אהרון,,,True,"כירורגיה   כללית,כירורגית שד
כירורגיה   כללית,כירורגית שד
"
ירדני דן,True,"בקע - הרניה ילדים עד גיל 15
פין - תיקון ברית
שופכה - הרחבת פתח
אשך טמיר - חד צדדי
בקע - הרניה ילדים דו""צ עד גיל 15
הזעת יתר - ניתוח
הוצאת גוש
אשך טמיר - חד צדדי
לשון - כריתת הממברנה (הפרדה)
בקע - הרניה ילדים דו""צ עד גיל 15
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
הזעת יתר - ניתוח
הוצאת גוש
שדיים לגבר - כריתה(גניקומסטיה)
מפשעה - כריתת גוש
בקע - הרניה ילדים עד גיל 15
אשך טמיר - חד צדדי
בקע - הרניה ילדים דו""צ עד גיל 15
הזעת יתר - ניתוח
הוצאת גוש
בקע - הרניה ילדים עד גיל 15
פילונידל - סינוס/פיסטולקטומי
פין - תיקון ברית
שופכה - הרחבת פתח
אשכים - תיקון הידרוצלה
אשך טמיר - דו צדדי
בקע - הרניה ילדים עד גיל 15
פין - תיקון ברית
שופכה - הרחבת פתח
אשך טמיר - חד צדדי
בקע - הרניה ילדים דו""צ עד גיל 15
הזעת יתר - ניתוח
הוצאת גוש
בקע - הרניה ילדים עד גיל 15
פילונידל - סינוס/פיסטולקטומי
פין - תיקון ברית
פין - תיקון ברית
שופכה - הרחבת פתח
אשכים - תיקון הידרוצלה
אשך טמיר - דו צדדי
אשך טמיר - חד צדדי
לשון - כריתת הממברנה (הפרדה)
בקע - הרניה ילדים דו""צ עד גיל 15
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
הזעת יתר - ניתוח
שופכה - הרחבת פתח
אשך טמיר - חד צדדי
בקע - הרניה ילדים דו""צ עד גיל 15
הזעת יתר - ניתוח
הוצאת גוש
",,
יצחק הרץ,,,True,"צינתורים,רדיולוגיה פולשנית
"
בוירסקי שוניה,True,"האלוס ואלגוס + אצבע פטישנית
כף רגל - האלוס ואלגוס - רגל אחת
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
האלוס ואלגוס + אצבע פטישנית
כף רגל - האלוס ואלגוס - רגל אחת
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
",,
שמעון כהן,,,True,"עיניים
עיניים
"
יצחק בלוך,,,True,"אף אוזן גרון
"
יעקב יולנו,,,True,"כירורגיה   כללית
כירורגיה   כללית
"
אריק כהנא,,,True,"גניקולוגיה
גניקולוגיה
"
בן דוד מרדכי,True,"רחם + שחלות - כריתה בחתך
נרתיק - פלסטיקה קדמית ואחורית
צוואר הרחם - קוניזציה
שלפוחית - T.V.T + פלסטיקה - בחתך
רחם - כריתת גוש בחתך (מיומה)
בלוטת ברטוליני - ניקוז
שחלה/ות - לפרוסקופיה ניתוחית
גרידת נסיון / הפלה נדחית
צוואר הרחם - קשירה
רחם היסטרוסקופיה גרידה + פוליפ
רחם + שחלות - כריתה בחתך
נרתיק - פלסטיקה קדמית ואחורית
בלוטת ברטוליני - ניקוז
גרידת נסיון / הפלה נדחית
צוואר הרחם - קשירה
רחם היסטרוסקופיה גרידה + פוליפ
",,
ביליק רון,True,"בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
מפשעה - כריתת גוש
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
תוספתן - אפנדציט - לפרוסקופ
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בחתך
פי הטבעת/פרי אנלי (פיסורה)
תוספתן - אפנדציט
בקע טבורי - ניתוח בחתך
הזעת יתר - ניתוח
שד/בלוטת לימפה - ביופסיה
בקע חוזר בדופן הבטן/צלקת ניתוח
מפשעה - כריתת גוש
כיס מרה - כריתה בלפרוסקופ
בקע מפשעתי + בקע טבורי בחתך
בקע חוזר בדופן הבטן + טבורי
שופכה - הרחבת פתח
אשך טמיר - חד צדדי
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
בקע - הרניה ילדים דו""צ עד גיל 15
פי הטבעת/פרי אנלי (פיסורה)
תוספתן - אפנדציט
בקע טבורי - ניתוח בחתך
",True,"כירורגית  ילדים
"
דניאל קוגלר,,,True,"גניקולוגיה
"
מיכאל אטלס,,,True,"גניקולוגיה
"
ישגב שפירא,,,True,"אף אוזן גרון
"
אמנון שמושקוביץ,,,True,"אף אוזן גרון
"
אשכנזי דרור,True,"שקדים + שקד שלישי
לשון - כריתת הממברנה (הפרדה)
שקדים עם אלקטרודה +  + ש.שלישי
שקדים עם שימוש באלקטרודה
שקד שלישי - כריתה
כפתורים
שקד שלישי + כפתורים - כריתה
שקדים + שקד שלישי + כפתורים
",,
אברהמי רוני,True,"רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
קרום בתולים - ביתוק
רחם - כריתה בטנית
רחם + שחלות - כריתה בחתך
נרתיק - פלסטיקה קדמית ואחורית
רחם - כריתת גוש בחתך (מיומה)
בלוטת ברטוליני - ניקוז
נרתיק - פלסטיקה אחורית
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
קרום בתולים - ביתוק
רחם - כריתה בטנית
רחם + שחלות - כריתה בחתך
",,
גק בניאל,,,True,"אורולוגיה
"
חייפץ אלכסנדר,True,"כריתת אשכ / ים - כריתה
פין - תיקון עקמת
אשך טמיר - דו צדדי
אשך טמיר - חד צדדי
ציסטוסקופיה אבחנתית
כליה/שופכן - ריסוק אבנים בלייזר
שופכה - החדרת סטנט(DJS)
שופכה - הוצאת סטנט(DJS)
ציסטוסקופיה בהרדמה לביופסיה
ערמונית - פרוסטטה פתוחה S.P.P
",,
קנטרובסקי אלכסנדר,True,"וריד הספנה + ורידים שתי רגליים
וריד הספנה + ורידים רגל אחת
ורידים שתי רגלים
וריד הספנה - אנדולייזר רגל אחת
וריד הספנה - אנדולייזר 2 רגליים
ורידים RF/ קיטור(SVS) - רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
וריד הספנה + ורידים שתי רגליים
וריד הספנה + ורידים רגל אחת
ורידים שתי רגלים
וריד הספנה - אנדולייזר רגל אחת
ורידים RF/ קיטור(SVS) - רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
ורידים RF/ קיטור(SVS) - רגל אחת
ורידים - רגל אחת
ורידים שתי רגלים
ורידים RF/ קיטור(SVS) - רגל אחת
ורידים - רגל אחת
ורידים שתי רגלים
וריד הספנה - אנדולייזר רגל אחת
וריד הספנה - אנדולייזר 2 רגליים
ורידים RF/ קיטור(SVS) - רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
ורידים שתי רגלים
וריד הספנה - אנדולייזר רגל אחת
וריד הספנה - אנדולייזר 2 רגליים
ורידים RF/ קיטור(SVS) - רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
",,
אלישר רון,True,"גרון - כריתת סחוס ממיתרי הקול
שקדים + שקד שלישי
סינוס - ניתוח אנדוסקופי
אף - תיקון מחיצה
שקדים + שקד שלישי
סינוס - ניתוח אנדוסקופי
אף - תיקון מחיצה
גרון - כריתת סחוס ממיתרי הקול
שקדים + שקד שלישי
סינוס - ניתוח אנדוסקופי
אף - תיקון מחיצה
אף - תיקון מחיצה
",,
עסלי מוראד,True,"פין - תיקון ברית
שלפוחית - אי נקיטה בשיטת T.V.T
אגן הכליה - תיקון
שופכה - ניתוח דרך ציסטוסקופ
שופכה - חיתוך
שופכה - הרחבת פתח
פין - היפוספדיאס - תיקון קל
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
וריד הזרע - וריקוצלה בלאפ צד 1
ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
אשך - הידרוצל/וריקוצל + בקע מפשעתי
פרוסטטה סגורה + שלפוחית שתן
פין - תיקון ברית
שלפוחית - אי נקיטה בשיטת T.V.T
אגן הכליה - תיקון
שופכה - ניתוח דרך ציסטוסקופ
שופכה - חיתוך
פין - תיקון ברית
שלפוחית - אי נקיטה בשיטת T.V.T
אשך - כריתה והשתלת תותב
אשך - השתלת תותב
שופכה - ניתוח דרך ציסטוסקופ
שופכה - חיתוך
שופכה - הרחבת פתח
פין - היפוספדיאס - תיקון קל
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
פין - תיקון ברית
שלפוחית - אי נקיטה בשיטת T.V.T
אשך - כריתה והשתלת תותב
אשך - השתלת תותב
שופכה - ניתוח דרך ציסטוסקופ
שופכה - חיתוך
שופכה - הרחבת פתח
פין - היפוספדיאס - תיקון קל
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
אשך טמיר - חד צדדי
ציסטוסקופיה אבחנתית
פין - היפוספדיאס - תיקון קשה
כליה - כריתה מלאה בלפרסקופ
פין - ניתוח להשתלת תותב
פין - ניתוח להשתלת תותב מורכב
כליה/שופכן - ריסוק אבנים בלייזר
שופכה - החדרת סטנט(DJS)
שופכה - הוצאת סטנט(DJS)
ציסטוסקופיה בהרדמה לביופסיה
פין - תיקון עקמת
אשך טמיר - דו צדדי
אשך טמיר - חד צדדי
ציסטוסקופיה אבחנתית
פין - היפוספדיאס - תיקון קשה
כליה - כריתה מלאה בלפרסקופ
פין - ניתוח להשתלת תותב
פין - ניתוח להשתלת תותב מורכב
כליה/שופכן - ריסוק אבנים בלייזר
שופכה - החדרת סטנט(DJS)
אגן הכליה - תיקון
שופכה - ניתוח דרך ציסטוסקופ
שופכה - חיתוך
שופכה - הרחבת פתח
פין - היפוספדיאס - תיקון קל
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
וריד הזרע - וריקוצלה בלאפ צד 1
פין - תיקון עקמת
אשך טמיר - דו צדדי
פין - תיקון ברית
שלפוחית - אי נקיטה בשיטת T.V.T
אשך - כריתה והשתלת תותב
אשך - השתלת תותב
שופכה - ניתוח דרך ציסטוסקופ
שופכה - חיתוך
שופכה - הרחבת פתח
פין - היפוספדיאס - תיקון קל
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
",,
רובינסון ענת,True,"ירוד/קטרקט עם השתלת עדשה רגילה
לייזר - לקטרקט משני - יאג קפסולוט
",,
סיבק גלית,True,"ורידים RF/ קיטור(SVS) - רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
ורידים - רגל אחת
ורידים שתי רגלים
ורידים RF/ קיטור(SVS) - רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
וריד הספנה + ורידים רגל אחת
קרוטיס (C.E.A)
רגלים - מעקפים עורקים
עורק /וריד - דלף בלי גרפט
ורידים שתי רגלים
וריד הספנה רגל1 + ורידים 2 רגלים
רגליים - מעקפים עורקיים ריחקניים
ניתוחי האורטה ועורקי כסל (A.O)
וריד הספנה + ורידים שתי רגליים
ורידים - רגל אחת
וריד הספנה + ורידים שתי רגליים
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
ורידים - רגל אחת
ורידים שתי רגלים
ורידים RF/ קיטור(SVS) - רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
עורק /וריד - דלף בלי גרפט
ורידים שתי רגלים
וריד הספנה רגל1 + ורידים 2 רגלים
ורידים RF/ קיטור(SVS) - רגל אחת
ורידים RF/קיטור(SVS) - דו""צ
ורידים - רגל אחת
ורידים שתי רגלים
ורידים RF/ קיטור(SVS) - רגל אחת
",,
פאר יעקב,True,"ארובת העין - הוצאת גידול
ויטרקטומי לסוגיו - ניתוחי
כלזיון,נבוס/גרנולומה לחמית/עפע
השתלת פלאק רדיואקטיבי
פזילה - מעל 2 שרירים
",,
שראלי מרום,True,"בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בלפרוסקופ
טחורים/פילונידל סינוס + פרי אנאל
שד - כריתה חלקית + בלוטות
טחורים - ניתוח
בקע טבורי - ניתוח בחתך
שד - כריתה חלקית
",,
רוקח אריאל,True,"ריאה - תיקון חור
",,
בראונר רון,True,"ניתוח לב מעקפים
ניתוח לב - מסתם + TEE
ניתוח לב - מסתם + TEE
לב - מעקפים + מסתם + T.E.E
",True,"כירורגית  לב
"
דב אנגלשטיין,,,True,"אורולוגיה
"
נקש רישרד,True,"בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך / חוזר
בקע מפשעתי בלאפ' חד צדדי/דו""צ
כיס מרה - כריתה בלפרוסקופ
טחול - כריתה בלפרוסקופ
בקע חוזר בדופן הבטן/צלקת ניתוח
",,
דוד ברוש,,,True,"צינתורים,רדיולוגיה פולשנית
"
מלכי ידידיה,True,"ליפומה גדולה/עמוקה בהרדמה כללי
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - הוצאת גוש
שד - כריתה חלקית
בקע טבורי - לפרוסקופ
בקע חוזר בדופן הבטן/צלקת ניתוח
בקע בדופן הבטן - לפרוסקופ
מפשעה - כריתת גוש
",True,"כירורגיה   כללית
"
קורצק דורון,True,"אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
ציסטוסקופיה אבחנתית
שלפוחית השתן - הסרת גידול TURT
פרוסטטה סגורה + שלפוחית שתן
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
ציסטוסקופיה אבחנתית
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
פרוסטטה סגורה + שלפוחית שתן
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
ציסטוסקופיה אבחנתית
",True,"אורולוגיה
"
גלעד רונית חיה,True,"רחם - כריתה בטנית
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
שלפוחית - אי נקיטה בשיטת T.V.T
רחם היסטרו שרירן/ספטום/אבלציה
רחם היסטרוסקופיה אבחנתית + גרידה
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
רחם - כריתה בטנית
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
שלפוחית - אי נקיטה בשיטת T.V.T
רחם היסטרו שרירן/ספטום/אבלציה
רחם היסטרוסקופיה אבחנתית + גרידה
",,
מאוריציו פינקלשטיין,,,True,"אורתופדיה
אורתופדיה
אורתופדיה
"
איליה ליסננסקי,,,True,"אף אוזן גרון
"
אירית סער,,,True,"עיניים
"
מיכל לונץ,,,True,"אף אוזן גרון
"
